ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
DFW -> CLT,4044,81,936.0,2.0029673590504453,DFW,CLT,206,4.389516300873641,31.598993480498685
LGA -> MCO,3913,81,950.0,2.0700230002555586,LGA,MCO,207,4.4108246324312805,31.69163902550612
AUS -> DAL,3904,81,189.0,2.074795081967213,AUS,DAL,208,4.43213296398892,31.784284570513556
DFW -> BOS,3070,81,1562.0,2.6384364820846904,DFW,BOS,209,4.4534412955465585,31.87693011552099
OMA -> ORD,2004,81,416.0,4.04191616766467,OMA,ORD,210,4.474749627104198,31.96957566052842
ORD -> TVC,1784,81,224.0,4.540358744394619,ORD,TVC,211,4.4960579586618366,32.062221205535856
LAX -> PHX,7330,80,370.0,1.0914051841746248,LAX,PHX,212,4.517366290219476,32.1537229783827
DFW -> ATL,7060,80,731.0,1.13314447592068,DFW,ATL,213,4.538674621777115,32.24522475122956
SAN -> LAX,4619,80,109.0,1.7319766183156529,SAN,LAX,214,4.559982953334754,32.336726524076404
BOS -> CLT,3590,80,728.0,2.2284122562674096,BOS,CLT,215,4.581291284892393,32.42822829692325
DFW -> JAN,2280,80,408.0,3.508771929824561,DFW,JAN,216,4.602599616450032,32.519730069770105
SGF -> ORD,2034,80,438.0,3.933136676499508,SGF,ORD,217,4.623907948007671,32.61123184261695
FSD -> ORD,2023,80,462.0,3.9545229856648545,FSD,ORD,218,4.64521627956531,32.7027336154638
ORD -> EVV,1736,80,272.19412442396316,4.6082949308755765,ORD,EVV,219,4.6665246111229495,32.794235388310646
SFO -> SMF,1623,80,86.0,4.929143561306223,SFO,SMF,220,4.687832942680588,32.88573716115749
SFO -> DFW,4555,79,1464.0,1.734357848518112,SFO,DFW,221,4.7091412742382275,32.97609516184376
BOS -> DFW,3073,79,1562.0,2.570777741620566,BOS,DFW,222,4.730449605795866,33.066453162530024
EWR -> DFW,2604,79,1372.0,3.0337941628264207,EWR,DFW,223,4.7517579373535055,33.15681116321629
XNA -> DFW,2224,79,280.0,3.552158273381295,XNA,DFW,224,4.773066268911144,33.24716916390255
